processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
GBMTG953-16	NC_009330	6959326		NC_009330	Mined from GenBank, NCBI		BOLD:AAE1539	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	5702	Mauremys	29446	Mauremys mutica					CANTOR 1842																																									
HWSST065-20	KAPOPOSANG_KPP.01_PB	12340598		KAPOPOSANG_KPP.01_PB	Institut Pertanian Bogor University			18	Chordata	76	Reptilia	384	Testudines	1116	Cheloniidae	757231	Carettinae	158934	Lepidochelys	158935	Lepidochelys olivacea				DNA non barcoding	ESCHSCHOLTZ 1829											Tissue Sampling																	Indonesia	Sulawesi Selatan	Pulau Kapoposang											
HWSST071-20	KAPOPOSANG_KPP.07_PB	12340604		KAPOPOSANG_KPP.07_PB	Institut Pertanian Bogor University			18	Chordata	76	Reptilia	384	Testudines	1116	Cheloniidae	757231	Carettinae	158934	Lepidochelys	158935	Lepidochelys olivacea				DNA non barcoding	ESCHSCHOLTZ 1829											Tissue Sampling																	Indonesia	Sulawesi Selatan	Pulau Kapoposang											
HWSST104-20	P.YAPEN_09_LTEI9_F	12340637		P.YAPEN_09_LTEI9_F	Institut Pertanian Bogor University			18	Chordata	76	Reptilia	384	Testudines	1116	Cheloniidae	757231	Carettinae	158934	Lepidochelys	158935	Lepidochelys olivacea				DNA non barcoding	ESCHSCHOLTZ 1829											Tissue Sampling																	Indonesia	West Papua	Pulau Yapen											
MTD060-21	MTDT_5063	14179857		MTDT_5063	Senckenberg Natural History Collections Dresden, Museum of Zoology		BOLD:ADW0466	18	Chordata	76	Reptilia	384	Testudines	53182	Testudinidae			191019	Kinixys	1131701	Kinixys zombensis	1131702	Kinixys zombensis domerguei					DNA/Tissue Vouchered Only	muscle																	-19.0416	46.6849	Coordinates from country centroid						Madagascar													
MTD074-21	MTDT_5662	14179871		MTDT_5662	Senckenberg Natural History Collections Dresden, Museum of Zoology			18	Chordata	76	Reptilia	384	Testudines	53182	Testudinidae			279929	Chelonoidis	279930	Chelonoidis chilensis					GRAY 1870		DNA/Tissue Vouchered Only	swab																	-35.6973	-64.5324	Coordinates from country centroid						Argentina													
MTD082-21	MTDT_6013	14179879		MTDT_6013	Senckenberg Natural History Collections Dresden, Museum of Zoology			18	Chordata	76	Reptilia	384	Testudines	1115	Emydidae	191002	Deirochelyinae	80310	Trachemys	1131703	Trachemys dorbigni	1131711	Trachemys dorbigni dorbigni					No Specimen	swab																	-32.782	-56.0192	Coordinates from country centroid						Uruguay													
MTD087-21	MTDT_6045	14179884		MTDT_6045	Senckenberg Natural History Collections Dresden, Museum of Zoology			18	Chordata	76	Reptilia	384	Testudines	1113	Trionychidae	190974	Cyclanorbinae	191025	Lissemys	191026	Lissemys punctata	499959	Lissemys punctata punctata					DNA/Tissue Vouchered Only	muscle																	23.5863	81.173	Coordinates from country centroid						India													
REPT315-12	REPT_ZSM119_2009	2471358	ZSM 1192009	ZSM119_2009	SNSB, Zoologische Staatssammlung Muenchen		BOLD:AAJ9710	18	Chordata	76	Reptilia	384	Testudines	53182	Testudinidae			253652	Astrochelys	253653	Astrochelys radiata			Frank Glaw		SHAW 1802					Frank Glaw															-19.0416	46.6849	Coordinates from country centroid						Madagascar													
SQUAP399-16	CH 5691	7304499	CH:5691	CH 5691	Circulo Herpetologico de Panama		BOLD:ADD7778	18	Chordata	76	Reptilia	384	Testudines	34441	Kinosternidae	191021	Kinosterninae	34442	Kinosternon	754076	Kinosternon scorpioides			Roberto Ibanez							Edgardo Griffith									S						8.5937	-80.5451			144				Panama	Cocle	La Pintada	El harino	Carretera hacia el pueblo del Cope									
STURT037-21	IMS-E12R-17	14290084		IMS-E12R-17	Middle East Technical University, Institute of Marine Sciences			18	Chordata	76	Reptilia	384	Testudines	1116	Cheloniidae	757231	Carettinae	158932	Caretta	158933	Caretta caretta			Fatima Nur Ogul	Morphological	LINNAEUS 1758			Muscle		Fatima Nur Ogul							Hatchling		S	Sandy beach					36.57	34.259	GPS	10					Turkey	Mersin	North Eastern Mediterranean	Erdemli	METU-IMS beach									
BENT063-08	BR_LK_129569	967822		129569	American Museum of Natural History		BOLD:ABY7752	18	Chordata	76	Reptilia	384	Testudines	1116	Cheloniidae	757231	Carettinae	158934	Lepidochelys	190952	Lepidochelys kempii					GARMAN 1880														S				FAO-21										United States	New York												
BENT105-08	BR_Tr_AC_1	967864		Amyda_cartilaginea	American Museum of Natural History		BOLD:AAJ2257	18	Chordata	76	Reptilia	384	Testudines	1113	Trionychidae	190957	Trionychinae	190958	Amyda	190959	Amyda cartilaginea					BODDAERT 1770														S																											
BENT141-08	BR_Em_GC_3	967900		Graptemys_caglei_3	American Museum of Natural History		BOLD:AAY2298	18	Chordata	76	Reptilia	384	Testudines	1115	Emydidae	191002	Deirochelyinae	191003	Graptemys	191005	Graptemys caglei			Bill Mccord		HAYNES & MCKOWN 1974														S																											
BENT231-09	BR_Ch_ENG_60	1218510		Elseya_novaeguineae_60.1	American Museum of Natural History		BOLD:AAC7650	18	Chordata	76	Reptilia	384	Testudines	171542	Chelidae	757233	Chelodininae	171559	Elseya	190981	Elseya novaeguineae			Bill Mccord		MEYER 1874					Bill McCord																									New Guinea	Sorong										
BENT259-09	BR_Ge_HA_1	1218538	AMNH:AMCC:157714		American Museum of Natural History		BOLD:AAX1689	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	191013	Heosemys	364284	Heosemys annandalii					BOULENGER 1903																																									
BENT292-09	BR_Po_PEr_1	1218571	AMNH:AMCC:183073		American Museum of Natural History		BOLD:AAY2927	18	Chordata	76	Reptilia	384	Testudines	171533	Podocnemididae			171536	Podocnemis	253637	Podocnemis erythrocephala					SPIX 1824																																									
BENT293-09	BR_Po_PEx_1	1218572	AMNH:AMCC:183074		American Museum of Natural History		BOLD:AAY2929	18	Chordata	76	Reptilia	384	Testudines	171533	Podocnemididae			171536	Podocnemis	171537	Podocnemis expansa					SCHWEIGGER 1812																																									
BENT295-09	BR_Po_PS_1	1218574	AMNH:AMCC:183076		American Museum of Natural History		BOLD:AAY2931	18	Chordata	76	Reptilia	384	Testudines	171533	Podocnemididae			171536	Podocnemis	253639	Podocnemis sextuberculata					CORNALIA 1849																																									
DTGIH019-23	IAvH-CT-45576	17415498	TM-R-933	36RE221963	Instituto de Investigacion de Recursos Biologicos Alexander von Humboldt		BOLD:ADY3483	18	Chordata	76	Reptilia	384	Testudines	171533	Podocnemididae			171536	Podocnemis	191055	Podocnemis unifilis					TROSCHEL 1848			blood																Specimen rescued by DAGMA Colombia. In captivity in foster home	4.18775	-72.6445	Coordinates from country centroid						Colombia													
