processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
BCAHF125-19	Herp36	10280903	NHMW H39992:1	Herp36	Naturhistorisches Museum Wien		BOLD:AAF8183	18	Chordata	76	Reptilia	384	Testudines	1115	Emydidae	190967	Emydinae	190983	Emys	190985	Emys orbicularis			Stephan Koblmueller		LINNAEUS 1758					NHM Wien																							Austria	Lower Austria	Lobau		St. Josef									
BENT022-08	BR_CM_56	967781		56	American Museum of Natural History		BOLD:AAB2931	18	Chordata	76	Reptilia	384	Testudines	1116	Cheloniidae	757234	Cheloniinae	5598	Chelonia	26699	Chelonia mydas					LINNAEUS 1758												A	F	S				FAO-27										United Kingdom		Ascension Island											
BENT117-08	BR_Ge_CD_1	967876	MVZ:228414		California Academy of Sciences		BOLD:AAR5487	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	164068	Cyclemys	190978	Cyclemys dentata					GRAY 1831																																									
BENT149-08	BR_Ch_HM_28	967908		Hydromedusa_maximiliani_28	American Museum of Natural History		BOLD:AAX2693	18	Chordata	76	Reptilia	384	Testudines	171542	Chelidae	757243	Hydromedusinae	171543	Hydromedusa	191015	Hydromedusa maximiliani			Bill Mccord		MIKAN 1820														S																											
BENT150-08	BR_Te_IT_1	967909	AMNH:AMCC:142999		American Museum of Natural History		BOLD:AAF2785	18	Chordata	76	Reptilia	384	Testudines	53182	Testudinidae			78992	Indotestudo	364287	Indotestudo travancorica					BOULENGER 1907																												India													
BENT170-08	BR_Ge_PT1_1	967929	AMNH:AMCC:166665		American Museum of Natural History		BOLD:AAX2621	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	191045	Pangshura	191047	Pangshura tecta																																														
BENT203-08	BR_Em_TSV_19a	967962		Trachemys_venusta_19a	American Museum of Natural History		BOLD:ABX5198	18	Chordata	76	Reptilia	384	Testudines	1115	Emydidae	191002	Deirochelyinae	80310	Trachemys	279937	Trachemys venusta			Bill Mccord																S																											
BENT222-09	BR_Ch_Ebr_18	1218501		Elseya_branderhorstii_18	American Museum of Natural History		BOLD:AAI9276	18	Chordata	76	Reptilia	384	Testudines	171542	Chelidae	757233	Chelodininae	171559	Elseya	253589	Elseya branderhorsti			Bill Mccord																																											
CMMX019-20	18_CBGIPN_FC_1011	12515450		NC1011	Instituto Politecnico Nacional, Centro de Biotecnologia Genomica		BOLD:AAB2931	18	Chordata	76	Reptilia	384	Testudines	1116	Cheloniidae	757234	Cheloniinae	5598	Chelonia	26699	Chelonia mydas			Miguel Angel Reyes Lopez	Taxonomy	LINNAEUS 1758			Sking Biopsy		Avelino Angulo Angulo			Morning			Skin biopsy	Juvenil		S	Marino/terrestre.					25.0785	-108.199	Gloogle Maps						Mexico	Sinaloa	Costa Azul	Sinaloa	Planicie Costera									
CYTC2653-12	NC_016681	2476958		NC_016681	Mined from GenBank, NCBI			18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	5702	Mauremys	29445	Mauremys reevesii																								Mauremys reevesii																						
CYTC5508-12	JX454971	2781516		JX454971	Mined from GenBank, NCBI			18	Chordata	76	Reptilia	384	Testudines	1116	Cheloniidae	757234	Cheloniinae	5598	Chelonia	26699	Chelonia mydas					LINNAEUS 1758																			Chelonia mydas																						
DJIB048-17	USNM325891	7700377	USNM:Herp:325891	WV-90-47	Smithsonian Institution, National Museum of Natural History		BOLD:ACV6817	18	Chordata	76	Reptilia	384	Testudines	34441	Kinosternidae	191021	Kinosterninae	253635	Sternotherus	473398	Sternotherus odoratus					LATREILLE 1802																				39.4961	-78.3825							United States	West Virginia			Paw Paw, E of, ca. 1.25 mi N of Largent, Cacapon R									
GBGC0873-06	AY357753	482332	YPM R 14074		Mined from GenBank, NCBI		BOLD:AAB4449	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	5631	Cuora	28785	Cuora galbinifrons					BOURRET 1939																																									
GBGC0877-06	AY357757	482336	FMNH 261574		Mined from GenBank, NCBI		BOLD:AAB4449	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	5631	Cuora	28785	Cuora galbinifrons					BOURRET 1939																																									
GBGC10644-13	JN417000	3575184	AUTK24		Mined from GenBank, NCBI		BOLD:ACA9031	18	Chordata	76	Reptilia	384	Testudines	1113	Trionychidae	190957	Trionychinae	191035	Nilssonia	499956	Nilssonia nigricans					ANDERSON 1875					K.C. Das															27.3	95.22							India													
GBGC10659-13	JF700194	3577865	AS62MT01		Mined from GenBank, NCBI		BOLD:AAF5910	18	Chordata	76	Reptilia	384	Testudines	1115	Emydidae	191002	Deirochelyinae	80310	Trachemys	80311	Trachemys scripta					SCHOEPFF 1792																																									
GBGC10667-13	JF700184	3577875	AS53MT01		Mined from GenBank, NCBI		BOLD:AAI3663	18	Chordata	76	Reptilia	384	Testudines	1113	Trionychidae	190957	Trionychinae	3399	Pelodiscus	28600	Pelodiscus sinensis					WIEGMANN 1835																																									
GBGC10753-13	JN860212	3585782	AUTK103		Mined from GenBank, NCBI		BOLD:ACA8662	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	191045	Pangshura	499960	Pangshura sylhetensis										S. Kundu															23.5	91.25							India													
GBGC11228-13	HQ329728	3602352	AMCC:183065		Mined from GenBank, NCBI		BOLD:AAX1352	18	Chordata	76	Reptilia	384	Testudines	1110	Pelomedusidae			171538	Pelusios	253645	Pelusios castanoides					HEWITT 1931																																									
GBGC11250-13	HQ329706	3602374	HQ329706	HQ329706	Mined from GenBank, NCBI		BOLD:AAR9491	18	Chordata	76	Reptilia	384	Testudines	34441	Kinosternidae	757237	Staurotypinae	253619	Claudius	253620	Claudius angustatus					COPE 1865																				23.8744	-101.554	Coordinates from country centroid						Mexico													
GBGC11253-13	HQ329663	3602377	HQ329663	HQ329663	Mined from GenBank, NCBI		BOLD:AAF5910	18	Chordata	76	Reptilia	384	Testudines	1115	Emydidae	191002	Deirochelyinae	80310	Trachemys	191074	Trachemys gaigeae					HARTWEG 1939																																									
GBGC11293-13	HQ329623	3602417	HQ329623	HQ329623	Mined from GenBank, NCBI		BOLD:AAF8157	18	Chordata	76	Reptilia	384	Testudines	171542	Chelidae	757233	Chelodininae	171564	Emydura	253592	Emydura tanybaraga					CANN 1997																																									
GBGC11301-13	HQ329615	3602425	HQ329615	HQ329615	Mined from GenBank, NCBI		BOLD:AAC7648	18	Chordata	76	Reptilia	384	Testudines	171542	Chelidae	757233	Chelodininae	171559	Elseya	190981	Elseya novaeguineae					MEYER 1874																												Indonesia	Papua Barat	Papua,Waropen											
GBGC11345-13	KF059163	3609097	Bern259		Mined from GenBank, NCBI		BOLD:AAK2412	18	Chordata	76	Reptilia	384	Testudines	1115	Emydidae	190967	Emydinae	191070	Terrapene	253607	Terrapene ornata	669191	Terrapene ornata ornata								N. Bernstein															41.67	-91.59							United States													
GBGC11488-13	KC311379	3623909	AUTK13		Mined from GenBank, NCBI		BOLD:AAX6376	18	Chordata	76	Reptilia	384	Testudines	1113	Trionychidae	190957	Trionychinae	191035	Nilssonia	499955	Nilssonia gangetica										S. Kundu															23.5	91.25							India													
GBGC16139-19	KY776446	10866403		KY776446	Mined from GenBank, NCBI		BOLD:AAW3595	18	Chordata	76	Reptilia	384	Testudines	171542	Chelidae	757233	Chelodininae	171555	Chelodina	253583	Chelodina novaeguineae					BOULENGER 1888																																									
GBGC19783-19	NC_041291	10870047		NC_041291	Mined from GenBank, NCBI		BOLD:AAW3598	18	Chordata	76	Reptilia	384	Testudines	171542	Chelidae	757233	Chelodininae	171555	Chelodina	969308	Chelodina colliei																																														
GBGCR1941-18	KP751971	8769707		KP751971	Mined from GenBank, NCBI		BOLD:AAE1539	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	5702	Mauremys	29446	Mauremys mutica					CANTOR 1842																				38.0733	104.691	Coordinates from country centroid						China													
GBGCR1961-18	KP751994	8769727		KP751994	Mined from GenBank, NCBI		BOLD:AAE1538	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	5702	Mauremys	29446	Mauremys mutica					CANTOR 1842																				38.0733	104.691	Coordinates from country centroid						China													
GBGCR2718-19	HQ329673	9671855	AMCC:166661		Mined from GenBank, NCBI		BOLD:AAW2848	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	190961	Batagur	253608	Batagur dhongoka																																														
GBGCR2760-19	HQ329689	9671897	AMCC:168667		Mined from GenBank, NCBI		BOLD:AAX4497	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	191031	Melanochelys	191032	Melanochelys trijuga					SCHWEIGGER 1812																																									
GBGCR2796-19	EF120491	9671933			Mined from GenBank, NCBI			18	Chordata	76	Reptilia	384	Testudines	53182	Testudinidae			166578	Chersina	166579	Chersina angulata					SCHWEIGGER 1812																																									
GBGCR2879-19	KF894778	9672016	AUTK102		Mined from GenBank, NCBI		BOLD:ACA9031	18	Chordata	76	Reptilia	384	Testudines	1113	Trionychidae	190957	Trionychinae	191035	Nilssonia	499956	Nilssonia nigricans					ANDERSON 1875																				24.35	92.22							India													
GBGCR2912-19	KP751974	9672049			Mined from GenBank, NCBI		BOLD:AAE1539	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	5702	Mauremys	29446	Mauremys mutica					CANTOR 1842																				38.0733	104.691	Coordinates from country centroid						China													
GBGCR2923-19	KP752019	9672060			Mined from GenBank, NCBI		BOLD:AAE1538	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	5702	Mauremys	29441	Mauremys annamensis					SIEBENROCK 1903																				38.0733	104.691	Coordinates from country centroid						China													
GBGCR2965-19	MF110275	9672102	ZSI:eDNA1		Mined from GenBank, NCBI		BOLD:AAW3953	18	Chordata	76	Reptilia	384	Testudines	1113	Trionychidae	190957	Trionychinae	253663	Chitra	253665	Chitra indica					GRAY 1831																				26.7248	92.9944							India													
GBGCR2981-19	MF432732	9672118	NBFGR-LIPT6		Mined from GenBank, NCBI		BOLD:AAF6774	18	Chordata	76	Reptilia	384	Testudines	1113	Trionychidae	190974	Cyclanorbinae	191025	Lissemys	191026	Lissemys punctata					BONNATERRE 1789																																									
GBGCR2982-19	MF432733	9672119	NBFGR-LIPT7		Mined from GenBank, NCBI		BOLD:AAF6774	18	Chordata	76	Reptilia	384	Testudines	1113	Trionychidae	190974	Cyclanorbinae	191025	Lissemys	191026	Lissemys punctata					BONNATERRE 1789																																									
GBGCR3001-19	MF432752	9672138	NBFGR-LIPT26		Mined from GenBank, NCBI		BOLD:AAF6774	18	Chordata	76	Reptilia	384	Testudines	1113	Trionychidae	190974	Cyclanorbinae	191025	Lissemys	191026	Lissemys punctata					BONNATERRE 1789																																									
GBGCR3129-19	MG912818	9672266	CAS8375		Mined from GenBank, NCBI		BOLD:AAW3604	18	Chordata	76	Reptilia	384	Testudines	53182	Testudinidae			279929	Chelonoidis	922142	Chelonoidis duncanensis																																														
GBGCR3131-19	MG912820	9672268			Mined from GenBank, NCBI		BOLD:AAW3604	18	Chordata	76	Reptilia	384	Testudines	53182	Testudinidae			279929	Chelonoidis	922142	Chelonoidis duncanensis																																														
GBGCR3138-19	MG912827	9672275			Mined from GenBank, NCBI		BOLD:AAW3604	18	Chordata	76	Reptilia	384	Testudines	53182	Testudinidae			279929	Chelonoidis	922142	Chelonoidis duncanensis																																														
GBGCR3173-19	MG728253	9672310	RCT185		Mined from GenBank, NCBI		BOLD:AAY2298	18	Chordata	76	Reptilia	384	Testudines	1115	Emydidae	191002	Deirochelyinae	191003	Graptemys	191007	Graptemys gibbonsi					LOVICH & MCCOY 1992																																									
GBMNA11676-19	KF574821	9628674		KF574821	Mined from GenBank, NCBI		BOLD:ADC5847	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	5631	Cuora	29443	Cuora trifasciata					BELL 1825																				38.0733	104.691	Coordinates from country centroid						China													
GBMNA11720-19	AF366350	9628718		AF366350	Mined from GenBank, NCBI		BOLD:ADC8968	18	Chordata	76	Reptilia	384	Testudines	1113	Trionychidae	190957	Trionychinae	3397	Dogania	27251	Dogania subplana					GEOFFROY 1809																																									
GBMNA11744-19	AB970731	9628742		AB970731	Mined from GenBank, NCBI		BOLD:AAX1346	18	Chordata	76	Reptilia	384	Testudines	171533	Podocnemididae			171534	Peltocephalus	254062	Peltocephalus dumerilianus																																														
GBMND61029-21	MW115537	12985509	KC1		Mined from GenBank, NCBI		BOLD:AEH9189	18	Chordata	76	Reptilia	384	Testudines	34441	Kinosternidae	191021	Kinosterninae	34442	Kinosternon																																			Mexico													
GBMNF43477-22	OL678068	15409336		OL678068	Mined from GenBank, NCBI		BOLD:ADE9998	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	190996	Geoemyda	190998	Geoemyda spengleri					GMELIN 1789																																									
GBMNF43493-22	OM945826	15409352		OM945826	Mined from GenBank, NCBI		BOLD:AAF1292	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	5702	Mauremys	29445	Mauremys reevesii																									38.0733	104.691	Coordinates from country centroid						China													
GBMNF43504-22	OL678061	15409363		OL678061	Mined from GenBank, NCBI		BOLD:ACB4635	18	Chordata	76	Reptilia	384	Testudines	280768	Platysternidae			81756	Platysternon	81757	Platysternon megacephalum					GRAY 1831																																									
GBMTG177-16	NC_002780	6958550		NC_002780	Mined from GenBank, NCBI		BOLD:ADC8968	18	Chordata	76	Reptilia	384	Testudines	1113	Trionychidae	190957	Trionychinae	3397	Dogania	27251	Dogania subplana					GEOFFROY 1809																																									
GBMTG2589-16	NC_017878	6960962		NC_017878	Mined from GenBank, NCBI		BOLD:AAB4449	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	5631	Cuora	28782	Cuora picturata																																														
GBMTG3981-16	NC_026027	6962354		NC_026027	Mined from GenBank, NCBI		BOLD:ADC5990	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	164068	Cyclemys	717035	Cyclemys pulchristriata																																														
GTICO070-18	BcT_CVC10	9562048		CVC10	Centro de Educacion Ambiental San Emigdio		BOLD:ADY3483	18	Chordata	76	Reptilia	384	Testudines	171533	Podocnemididae			171536	Podocnemis	191055	Podocnemis unifilis					TROSCHEL 1848									Decomiso por trafico de fauna					S														Colombia	Valle del Cauca												
GTICO086-18	BcT_CVC27	9562064		T2138	Centro de Educacion Ambiental San Emigdio		BOLD:AAX0379	18	Chordata	76	Reptilia	384	Testudines	34441	Kinosternidae	191021	Kinosterninae	34442	Kinosternon	279417	Kinosternon leucostomum					DUMÉRIL, BIBRON & DUMÉRIL 1851									Decomiso por trafico de fauna					S														Colombia	Valle del Cauca												
HWSST088-20	KUPANG_23_LTEI9_F	12340621		KUPANG_23_LTEI9_F	Institut Pertanian Bogor University			18	Chordata	76	Reptilia	384	Testudines	1116	Cheloniidae	757231	Carettinae	158934	Lepidochelys	158935	Lepidochelys olivacea				DNA non barcoding	ESCHSCHOLTZ 1829											Tissue Sampling																	Indonesia	Nusa Tenggara Timur	Tuafanu											
HWSST102-20	P.YAPEN_07_LTEI9_F	12340635		P.YAPEN_07_LTEI9_F	Institut Pertanian Bogor University			18	Chordata	76	Reptilia	384	Testudines	1116	Cheloniidae	757231	Carettinae	158934	Lepidochelys	158935	Lepidochelys olivacea				DNA non barcoding	ESCHSCHOLTZ 1829											Tissue Sampling																	Indonesia	West Papua	Pulau Yapen											
MTD036-21	MTDT_3122	14179833		MTDT_3122	Senckenberg Natural History Collections Dresden, Museum of Zoology		BOLD:AAW2847	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	190961	Batagur	279926	Batagur borneoensis							DNA/Tissue Vouchered Only	muscle																	3.67166	114.633	Coordinates from country centroid						Malaysia													
QUANH044-18	USNM575054	9391576	USNM:Herp:575054	DRD4794	Smithsonian Institution, National Museum of Natural History		BOLD:AAK2415	18	Chordata	76	Reptilia	384	Testudines	1115	Emydidae	190967	Emydinae	191070	Terrapene	191071	Terrapene carolina					LINNAEUS 1758		Vouchered:Registered Collection	In DMSO/EDTA		D. Davis, R. Lovich, C. Petersen, C. Cook, K. Erwin, D. Mulcahy, J. Lee & A. Miller			Collected 10:42 hrs.												38.5056	-77.4444							United States	Virginia	Stafford		Quantico Marine Corps Base: 8A training area, NW o									
REPT118-12	REPT_F324	2471161	ZSM 1772004	F324	SNSB, Zoologische Staatssammlung Muenchen		BOLD:ABV8283	18	Chordata	76	Reptilia	384	Testudines	1110	Pelomedusidae			3396	Pelomedusa	30223	Pelomedusa subrufa			Frank Glaw		BONNATERRE 1789					Frank Glaw															-25.256	45.673			108				Madagascar				Ambondro Tsiombe									
STURT020-21	IMS-NY45-2	14288507		IMS-NY45-2	Middle East Technical University, Institute of Marine Sciences		BOLD:AAB8364	18	Chordata	76	Reptilia	384	Testudines	1116	Cheloniidae	757231	Carettinae	158932	Caretta	158933	Caretta caretta			Fatima Nur Ogul	Morphological	LINNAEUS 1758			Muscle		KUMSAL DUZGUN							Hatchling		S	Sandy beach					36.829	31.184	GPS	5					Turkey	Antalya	North Eastern Mediterranean	Belek	Nigit									
STURT046-21	IMS-E12R-6	14290093		IMS-E12R-6	Middle East Technical University, Institute of Marine Sciences			18	Chordata	76	Reptilia	384	Testudines	1116	Cheloniidae	757231	Carettinae	158932	Caretta	158933	Caretta caretta			Fatima Nur Ogul	Morphological	LINNAEUS 1758			Muscle		Fatima Nur Ogul							Hatchling		S	Sandy beach					36.57	34.259	GPS	10					Turkey	Mersin	North Eastern Mediterranean	Erdemli	METU-IMS beach									
TZREP013-15	ISIS 45178	6219270	ISIS#45178	PM#22150	Metropolitan Toronto Zoo		BOLD:AAJ0408	18	Chordata	76	Reptilia	384	Testudines	171542	Chelidae	757236	Chelinae	171553	Chelus	254061	Chelus fimbriata			Michael Dobrovetsky														Adult	M	S				Mata mata turtle	,28 years old									Exception - Zoological Park													
ZSIWF041-19	ZSI_2019_FI-34	10870078	MT-1342	ZSI_2019_FI-34	Zoological Survey of India			18	Chordata	76	Reptilia	384	Testudines	1116	Cheloniidae	757234	Cheloniinae	5598	Chelonia	26699	Chelonia mydas					LINNAEUS 1758																												India													
BENT037-08	BR_DC_AA31371	967796		AA31371	University of Canberra		BOLD:AAB9663	18	Chordata	76	Reptilia	384	Testudines	52058	Dermochelyidae			52059	Dermochelys	52060	Dermochelys coriacea					VANDELLI 1761														S				FAO-81										Australia	New South Wales												
BENT042-08	BR_DC_72	967801		72	University of Canberra		BOLD:AAB9663	18	Chordata	76	Reptilia	384	Testudines	52058	Dermochelyidae			52059	Dermochelys	52060	Dermochelys coriacea					VANDELLI 1761														S				FAO-81										Australia	New South Wales												
BENT102-08	BR_Ch_AM_3	967861		Acanthochelys_macrocephala_3	American Museum of Natural History		BOLD:AAF4058	18	Chordata	76	Reptilia	384	Testudines	171542	Chelidae	757236	Chelinae	171549	Acanthochelys	190955	Acanthochelys macrocephala			Bill Mccord		RHODIN, MITTERMEIER & MCMORRIS 1984														S																											
BENT134-08	BR_Te_GS_1	967893	AMNH:AMCC:111025		American Museum of Natural History		BOLD:AAY1578	18	Chordata	76	Reptilia	384	Testudines	53182	Testudinidae			757688	Centrochelys	758735	Centrochelys sulcata																																														
BENT197-08	BR_Em_TG_13	967956		Trachemys_gaigeae_13	American Museum of Natural History		BOLD:AAF5910	18	Chordata	76	Reptilia	384	Testudines	1115	Emydidae	191002	Deirochelyinae	80310	Trachemys	191074	Trachemys gaigeae			Bill Mccord		HARTWEG 1939														S																											
BENT257-09	BR_Em_TO_1	1218536		TA:R01101	American Museum of Natural History		BOLD:AAK2412	18	Chordata	76	Reptilia	384	Testudines	1115	Emydidae	190967	Emydinae	191070	Terrapene	253607	Terrapene ornata			Dave Collins		AGASSIZ 1857																			Animal from Tennessee Aquarium																						
BENT314-09	BR_Te_GB_34	1218593		EPZ200134	American Museum of Natural History		BOLD:AAE3320	18	Chordata	76	Reptilia	384	Testudines	53182	Testudinidae			191000	Gopherus	253656	Gopherus berlandieri			Victoria Milne		AGASSIZ 1857																			Animal from El Paso Zoo																						
BENT335-09	BR_Tr_RS_1	1218614		Rafetus_swinhoei_	American Museum of Natural History		BOLD:AAX9847	18	Chordata	76	Reptilia	384	Testudines	1113	Trionychidae	190957	Trionychinae	253668	Rafetus	253670	Rafetus swinhoei					GRAY 1873																																									
CMMX015-20	18_CBGIPN_FC_1007	12515446		NC1007	Instituto Politecnico Nacional, Centro de Biotecnologia Genomica		BOLD:AAB2931	18	Chordata	76	Reptilia	384	Testudines	1116	Cheloniidae	757234	Cheloniinae	5598	Chelonia	26699	Chelonia mydas			Miguel Angel Reyes Lopez	Taxonomy	LINNAEUS 1758					Fatima Yedith Camacho-Sanchez			Morning		81260	Skin biopsy	Juvenil		S	Marino/terrestre.				Taking in Navachiste Bay	25.4659	-108.847	Gloogle Maps						Mexico	Sinaloa	Bahía de Navachiste	Sinaloa	Planicie Costera									
EANAH536-12	FMNH Herps 274819	2593054	274819		Field Museum of Natural History		BOLD:AAJ0518	18	Chordata	76	Reptilia	384	Testudines	34463	Chelydridae			34464	Chelydra	34465	Chelydra serpentina					LINNAEUS 1758					A.R. Resetar															41.614	-87.394							United States	Indiana	Lake Co.	Gary, Clark Rd										
GBGC0193-06	AF348263	472253			Mined from GenBank, NCBI		BOLD:AAF1292	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	5702	Mauremys	29445	Mauremys reevesii																																														
GBGC0194-06	AF348264	472254			Mined from GenBank, NCBI		BOLD:AAX3011	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	5702	Mauremys	280218	Mauremys nigricans																																														
GBGC0196-06	AF348266	472256			Mined from GenBank, NCBI		BOLD:AAB4448	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	5631	Cuora	28785	Cuora galbinifrons					BOURRET 1939																																									
GBGC0200-06	AF348270	472260			Mined from GenBank, NCBI		BOLD:AAB3006	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	5631	Cuora	29443	Cuora trifasciata					BELL 1825																																									
GBGC11208-13	HQ329748	3602332	AMCC:125847		Mined from GenBank, NCBI		BOLD:AAJ9708	18	Chordata	76	Reptilia	384	Testudines	53182	Testudinidae			253652	Astrochelys	253654	Astrochelys yniphora					VAILLANT 1885																																									
GBGC11244-13	HQ329712	3602368	HQ329712	HQ329712	Mined from GenBank, NCBI		BOLD:AAI7975	18	Chordata	76	Reptilia	384	Testudines	34441	Kinosternidae	191021	Kinosterninae	34442	Kinosternon	253625	Kinosternon creaseri					HARTWEG 1934																												Mexico	Quintana Roo	Quintana Roo											
GBGC11252-13	HQ329664	3602376	HQ329664	HQ329664	Mined from GenBank, NCBI		BOLD:AAI0549	18	Chordata	76	Reptilia	384	Testudines	1115	Emydidae	191002	Deirochelyinae	80310	Trachemys	279937	Trachemys venusta																																														
GBGC11292-13	HQ329624	3602416	HQ329624	HQ329624	Mined from GenBank, NCBI		BOLD:AAI9243	18	Chordata	76	Reptilia	384	Testudines	171542	Chelidae	757233	Chelodininae	171564	Emydura	253593	Emydura victoriae					GRAY 1842																																									
GBGC11310-13	HQ329606	3602434	AM:R125468		Mined from GenBank, NCBI		BOLD:AAI9279	18	Chordata	76	Reptilia	384	Testudines	171542	Chelidae	757233	Chelodininae	171559	Elseya	253590	Elseya irwini					CANN 1997																												Australia	Queensland	Queensland											
GBGC11339-13	KF059169	3609091	HR8-F600		Mined from GenBank, NCBI		BOLD:AAK2415	18	Chordata	76	Reptilia	384	Testudines	1115	Emydidae	190967	Emydinae	191070	Terrapene	191071	Terrapene carolina	669894	Terrapene carolina carolina								L. Erb															42.26	-72.52							United States													
GBGC11426-13	KC354717	3614722	AUTK32		Mined from GenBank, NCBI		BOLD:AAD5779	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	5631	Cuora	104565	Cuora mouhotii					GRAY 1862					K.C. Das															26.38	92.48							India													
GBGC11769-13	JX454981	3636135	JX454981	JX454981	Mined from GenBank, NCBI		BOLD:ABY7752	18	Chordata	76	Reptilia	384	Testudines	1116	Cheloniidae	757231	Carettinae	158934	Lepidochelys	190952	Lepidochelys kempii					GARMAN 1880																																									
GBGC4394-08	EF685037	785099	EF685037		Mined from GenBank, NCBI		BOLD:AAE7763	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	5631	Cuora	28765	Cuora yunnanensis					BOULENGER 1906																																									
GBGCR1894-18	KU923748	8769660		KU923748	Mined from GenBank, NCBI		BOLD:AAB8364	18	Chordata	76	Reptilia	384	Testudines	1116	Cheloniidae	757231	Carettinae	158932	Caretta	158933	Caretta caretta					LINNAEUS 1758																																									
GBGCR1895-18	KU923749	8769661		KU923749	Mined from GenBank, NCBI		BOLD:AAB8364	18	Chordata	76	Reptilia	384	Testudines	1116	Cheloniidae	757231	Carettinae	158932	Caretta	158933	Caretta caretta					LINNAEUS 1758																																									
GBGCR1926-18	KP268848	8769692	T2	KP268848	Mined from GenBank, NCBI		BOLD:ADC7899	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	164068	Cyclemys	499958	Cyclemys gemeli																									23.91	92.48							India													
GBGCR1949-18	KP751980	8769715		KP751980	Mined from GenBank, NCBI		BOLD:AAE1539	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	5702	Mauremys	29446	Mauremys mutica					CANTOR 1842																				38.0733	104.691	Coordinates from country centroid						China													
GBGCR1956-18	KP751989	8769722		KP751989	Mined from GenBank, NCBI		BOLD:AAE1538	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	5702	Mauremys	29446	Mauremys mutica					CANTOR 1842																				38.0733	104.691	Coordinates from country centroid						China													
GBGCR1960-18	KP751993	8769726		KP751993	Mined from GenBank, NCBI		BOLD:AAE1538	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	5702	Mauremys	29446	Mauremys mutica					CANTOR 1842																				38.0733	104.691	Coordinates from country centroid						China													
GBGCR2775-19	KC751494	9671912			Mined from GenBank, NCBI		BOLD:AAY2929	18	Chordata	76	Reptilia	384	Testudines	171533	Podocnemididae			171536	Podocnemis	171537	Podocnemis expansa					SCHWEIGGER 1812																				-8.52272	-74.1142	Coordinates from country centroid						Peru													
GBGCR2789-19	EF120484	9671926			Mined from GenBank, NCBI			18	Chordata	76	Reptilia	384	Testudines	53182	Testudinidae			166578	Chersina	166579	Chersina angulata					SCHWEIGGER 1812																																									
